CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 1.578125 1530828414.4751
MEM 28.589844 1530828414.6086
MEM 40.488281 1530828414.7435
MEM 51.316406 1530828414.8748
MEM 60.613281 1530828415.0078
MEM 69.105469 1530828415.1388
MEM 85.343750 1530828415.2735
MEM 98.058594 1530828415.4087
MEM 119.218750 1530828415.5431
MEM 162.972656 1530828415.6778
MEM 176.410156 1530828415.8106
MEM 182.355469 1530828415.9427
MEM 192.585938 1530828416.0746
MEM 201.308594 1530828416.2073
MEM 211.804688 1530828416.3406
MEM 233.582031 1530828416.4726
MEM 236.609375 1530828416.6052
MEM 249.445312 1530828416.7370
MEM 255.117188 1530828416.8727
MEM 256.921875 1530828417.0119
MEM 677.121094 1530828417.1582
CHLD 0 221.292969 1530828417.1836
CHLD 1 211.078125 1530828417.1837
MEM 705.488281 1530828417.3057
CHLD 0 223.023438 1530828417.3236
CHLD 1 224.703125 1530828417.3237
MEM 729.871094 1530828417.4416
CHLD 0 233.519531 1530828417.4566
CHLD 1 241.648438 1530828417.4567
MEM 750.578125 1530828417.5749
CHLD 0 237.152344 1530828417.5956
CHLD 1 234.281250 1530828417.5957
MEM 285.886719 1530828417.7153
CHLD 0 219.082031 1530828417.7373
MEM 1398.062500 1530828417.8592
CHLD 0 239.402344 1530828417.8743
CHLD 1 219.097656 1530828417.8743
CHLD 2 219.082031 1530828417.8744
CHLD 3 219.082031 1530828417.8744
CHLD 4 219.082031 1530828417.8744
MEM 1443.332031 1530828417.9968
CHLD 0 239.945312 1530828418.0120
CHLD 1 239.636719 1530828418.0121
CHLD 2 239.445312 1530828418.0121
CHLD 3 222.257812 1530828418.0121
CHLD 4 219.097656 1530828418.0121
MEM 1484.871094 1530828418.1291
CHLD 0 240.562500 1530828418.1443
CHLD 1 240.308594 1530828418.1443
CHLD 2 240.019531 1530828418.1443
CHLD 3 240.054688 1530828418.1443
CHLD 4 238.683594 1530828418.1444
MEM 1488.554688 1530828418.2664
CHLD 0 241.074219 1530828418.2817
CHLD 1 240.738281 1530828418.2817
CHLD 2 240.804688 1530828418.2817
CHLD 3 240.542969 1530828418.2818
CHLD 4 240.152344 1530828418.2818
MEM 1494.574219 1530828418.4066
CHLD 0 241.332031 1530828418.4254
CHLD 1 241.312500 1530828418.4255
CHLD 2 241.300781 1530828418.4255
CHLD 3 241.550781 1530828418.4255
CHLD 4 247.433594 1530828418.4255
MEM 1509.648438 1530828418.5433
CHLD 0 241.816406 1530828418.5563
CHLD 1 241.566406 1530828418.5563
CHLD 2 242.035156 1530828418.5563
CHLD 3 242.542969 1530828418.5563
CHLD 4 250.675781 1530828418.5564
MEM 1514.363281 1530828418.6760
CHLD 0 242.578125 1530828418.6891
CHLD 1 242.574219 1530828418.6891
CHLD 2 243.042969 1530828418.6892
CHLD 3 244.589844 1530828418.6892
CHLD 4 250.675781 1530828418.6892
MEM 1520.050781 1530828418.8046
CHLD 0 243.414062 1530828418.8178
CHLD 1 243.746094 1530828418.8179
CHLD 2 244.406250 1530828418.8179
CHLD 3 246.902344 1530828418.8179
CHLD 4 250.675781 1530828418.8179
MEM 1526.746094 1530828418.9338
CHLD 0 244.960938 1530828418.9469
CHLD 1 245.332031 1530828418.9469
CHLD 2 245.796875 1530828418.9470
CHLD 3 249.375000 1530828418.9470
CHLD 4 250.675781 1530828418.9470
MEM 1532.554688 1530828419.0617
CHLD 0 246.320312 1530828419.0750
CHLD 1 246.835938 1530828419.0750
CHLD 2 247.378906 1530828419.0751
CHLD 3 250.355469 1530828419.0751
CHLD 4 250.675781 1530828419.0751
MEM 1537.074219 1530828419.1906
