CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 1.578125 1530827712.3345
MEM 28.453125 1530827712.4755
MEM 38.832031 1530827712.6091
MEM 50.554688 1530827712.7429
MEM 51.648438 1530827712.8758
MEM 61.457031 1530827713.0082
MEM 71.347656 1530827713.1436
MEM 87.820312 1530827713.2787
MEM 100.402344 1530827713.4122
MEM 120.250000 1530827713.5467
MEM 165.859375 1530827713.6793
MEM 176.769531 1530827713.8126
MEM 183.082031 1530827713.9503
MEM 192.828125 1530827714.0852
MEM 201.570312 1530827714.2166
MEM 210.617188 1530827714.3481
MEM 232.714844 1530827714.4812
MEM 239.269531 1530827714.6130
MEM 251.890625 1530827714.7496
MEM 256.789062 1530827714.8874
MEM 646.210938 1530827715.0216
CHLD 0 192.429688 1530827715.0369
CHLD 1 192.320312 1530827715.0369
MEM 702.816406 1530827715.1646
CHLD 0 221.964844 1530827715.1922
CHLD 1 222.246094 1530827715.1923
MEM 715.984375 1530827715.3197
CHLD 0 224.492188 1530827715.3440
CHLD 1 237.500000 1530827715.3440
MEM 745.835938 1530827715.4665
CHLD 0 241.140625 1530827715.4899
CHLD 1 233.578125 1530827715.4900
MEM 756.914062 1530827715.6053
CHLD 0 237.343750 1530827715.6185
CHLD 1 233.578125 1530827715.6185
MEM 1162.621094 1530827715.7401
CHLD 0 219.156250 1530827715.7542
CHLD 1 219.140625 1530827715.7542
CHLD 2 219.140625 1530827715.7542
CHLD 3 219.140625 1530827715.7542
CHLD 4 219.140625 1530827715.7543
MEM 1406.250000 1530827715.8724
CHLD 0 239.468750 1530827715.8860
CHLD 1 222.917969 1530827715.8860
CHLD 2 219.156250 1530827715.8860
CHLD 3 219.140625 1530827715.8860
CHLD 4 219.140625 1530827715.8860
MEM 1447.781250 1530827716.0041
CHLD 0 239.843750 1530827716.0173
CHLD 1 239.734375 1530827716.0174
CHLD 2 239.460938 1530827716.0174
CHLD 3 222.917969 1530827716.0174
CHLD 4 219.156250 1530827716.0174
MEM 1485.210938 1530827716.1376
CHLD 0 240.300781 1530827716.1532
CHLD 1 240.191406 1530827716.1532
CHLD 2 240.117188 1530827716.1532
CHLD 3 239.937500 1530827716.1533
CHLD 4 238.968750 1530827716.1533
MEM 1488.582031 1530827716.2722
CHLD 0 241.199219 1530827716.2873
CHLD 1 240.625000 1530827716.2873
CHLD 2 240.687500 1530827716.2873
CHLD 3 240.675781 1530827716.2874
CHLD 4 240.343750 1530827716.2874
MEM 1494.253906 1530827716.4052
CHLD 0 241.449219 1530827716.4203
CHLD 1 241.195312 1530827716.4203
CHLD 2 241.429688 1530827716.4204
CHLD 3 241.699219 1530827716.4204
CHLD 4 247.355469 1530827716.4204
MEM 1510.828125 1530827716.5460
CHLD 0 242.269531 1530827716.5641
CHLD 1 241.707031 1530827716.5641
CHLD 2 241.941406 1530827716.5641
CHLD 3 243.613281 1530827716.5641
CHLD 4 250.792969 1530827716.5642
MEM 1517.394531 1530827716.6854
CHLD 0 243.042969 1530827716.7008
CHLD 1 243.281250 1530827716.7008
CHLD 2 243.453125 1530827716.7008
CHLD 3 246.281250 1530827716.7009
CHLD 4 250.792969 1530827716.7009
MEM 1525.683594 1530827716.8285
CHLD 0 244.875000 1530827716.8456
CHLD 1 244.746094 1530827716.8456
CHLD 2 245.621094 1530827716.8457
CHLD 3 248.960938 1530827716.8457
CHLD 4 250.792969 1530827716.8457
MEM 1532.062500 1530827716.9654
CHLD 0 246.359375 1530827716.9808
CHLD 1 245.937500 1530827716.9808
CHLD 2 247.597656 1530827716.9808
CHLD 3 250.230469 1530827716.9808
CHLD 4 250.792969 1530827716.9809
MEM 1536.398438 1530827717.0997
CHLD 0 247.230469 1530827717.1147
CHLD 1 247.109375 1530827717.1148
CHLD 2 249.519531 1530827717.1148
CHLD 3 250.386719 1530827717.1148
CHLD 4 250.792969 1530827717.1148
MEM 1549.687500 1530827717.2319
CHLD 0 248.109375 1530827717.2457
CHLD 1 248.835938 1530827717.2457
CHLD 2 250.738281 1530827717.2457
CHLD 3 262.117188 1530827717.2457
CHLD 4 250.792969 1530827717.2458
MEM 1552.476562 1530827717.3637
CHLD 0 249.519531 1530827717.3812
CHLD 1 249.949219 1530827717.3812
