CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.238281 1530826557.9953
MEM 23.886719 1530826558.1252
MEM 36.601562 1530826558.2566
MEM 46.757812 1530826558.3892
MEM 51.304688 1530826558.5219
MEM 56.566406 1530826558.6549
MEM 63.703125 1530826558.7882
MEM 81.800781 1530826558.9232
MEM 92.527344 1530826559.0671
MEM 113.644531 1530826559.2031
MEM 142.031250 1530826559.3367
MEM 172.027344 1530826559.4689
MEM 179.996094 1530826559.6021
MEM 188.292969 1530826559.7335
MEM 198.617188 1530826559.8669
MEM 207.488281 1530826560.0044
MEM 222.214844 1530826560.1474
MEM 236.390625 1530826560.2935
MEM 247.933594 1530826560.4293
MEM 254.378906 1530826560.5591
MEM 256.957031 1530826560.6948
MEM 678.265625 1530826560.8277
CHLD 0 221.167969 1530826560.8430
CHLD 1 206.652344 1530826560.8430
MEM 705.582031 1530826560.9608
CHLD 0 222.781250 1530826560.9755
CHLD 1 224.722656 1530826560.9755
MEM 726.808594 1530826561.0933
CHLD 0 227.144531 1530826561.1082
CHLD 1 233.679688 1530826561.1082
MEM 750.156250 1530826561.2251
CHLD 0 237.386719 1530826561.2397
CHLD 1 233.679688 1530826561.2397
MEM 756.878906 1530826561.3572
MEM 1385.027344 1530826561.4896
CHLD 0 222.269531 1530826561.5043
CHLD 1 219.062500 1530826561.5043
CHLD 2 219.062500 1530826561.5043
CHLD 3 219.062500 1530826561.5044
CHLD 4 219.062500 1530826561.5044
MEM 1425.289062 1530826561.6256
CHLD 0 239.851562 1530826561.6390
CHLD 1 239.507812 1530826561.6390
CHLD 2 222.269531 1530826561.6390
CHLD 3 219.078125 1530826561.6390
CHLD 4 219.062500 1530826561.6391
MEM 1466.445312 1530826561.7557
CHLD 0 240.210938 1530826561.7732
CHLD 1 240.105469 1530826561.7732
CHLD 2 239.839844 1530826561.7732
CHLD 3 239.550781 1530826561.7733
CHLD 4 222.136719 1530826561.7733
MEM 1486.988281 1530826561.8948
CHLD 0 240.863281 1530826561.9114
CHLD 1 240.574219 1530826561.9115
CHLD 2 240.539062 1530826561.9115
CHLD 3 240.277344 1530826561.9115
CHLD 4 239.156250 1530826561.9115
MEM 1490.546875 1530826562.0333
CHLD 0 241.367188 1530826562.0485
CHLD 1 240.800781 1530826562.0485
CHLD 2 240.855469 1530826562.0485
CHLD 3 241.097656 1530826562.0485
CHLD 4 240.699219 1530826562.0486
MEM 1501.019531 1530826562.1684
CHLD 0 241.617188 1530826562.1837
CHLD 1 241.113281 1530826562.1837
CHLD 2 241.105469 1530826562.1837
CHLD 3 242.101562 1530826562.1837
CHLD 4 254.425781 1530826562.1838
MEM 1510.921875 1530826562.3032
CHLD 0 242.132812 1530826562.3180
CHLD 1 241.625000 1530826562.3181
CHLD 2 241.593750 1530826562.3181
CHLD 3 243.828125 1530826562.3181
CHLD 4 251.019531 1530826562.3181
MEM 1515.246094 1530826562.4359
CHLD 0 242.906250 1530826562.4510
CHLD 1 242.113281 1530826562.4511
CHLD 2 242.503906 1530826562.4511
CHLD 3 246.242188 1530826562.4511
CHLD 4 251.019531 1530826562.4511
MEM 1521.156250 1530826562.5685
CHLD 0 244.011719 1530826562.5837
CHLD 1 243.156250 1530826562.5837
CHLD 2 243.890625 1530826562.5838
CHLD 3 248.257812 1530826562.5838
CHLD 4 251.019531 1530826562.5838
MEM 1527.269531 1530826562.7021
CHLD 0 245.347656 1530826562.7176
CHLD 1 244.261719 1530826562.7176
CHLD 2 245.839844 1530826562.7176
CHLD 3 249.914062 1530826562.7176
CHLD 4 251.019531 1530826562.7177
MEM 1532.519531 1530826562.8387
CHLD 0 246.671875 1530826562.8541
CHLD 1 245.855469 1530826562.8542
CHLD 2 247.703125 1530826562.8542
CHLD 3 250.199219 1530826562.8542
CHLD 4 251.019531 1530826562.8542
MEM 1536.691406 1530826562.9733
CHLD 0 247.667969 1530826562.9886
CHLD 1 247.316406 1530826562.9886
CHLD 2 249.492188 1530826562.9886
CHLD 3 250.351562 1530826562.9886
CHLD 4 251.019531 1530826562.9887
MEM 1558.359375 1530826563.1062
CHLD 0 249.441406 1530826563.1214
CHLD 1 248.867188 1530826563.1214
CHLD 2 250.777344 1530826563.1214
CHLD 3 267.414062 1530826563.1215
CHLD 4 251.019531 1530826563.1215
MEM 1561.152344 1530826563.2401
CHLD 0 250.773438 1530826563.2553
CHLD 1 250.187500 1530826563.2553
CHLD 2 250.777344 1530826563.2554
CHLD 3 252.449219 1530826563.2554
CHLD 4 251.019531 1530826563.2554
MEM 1580.000000 1530826563.3738
CHLD 0 251.378906 1530826563.3901
CHLD 1 251.148438 1530826563.3901
CHLD 2 260.515625 1530826563.3901
CHLD 3 252.449219 1530826563.3902
CHLD 4 251.019531 1530826563.3902
MEM 1594.609375 1530826563.5154
CHLD 0 251.417969 1530826563.5346
CHLD 1 251.148438 1530826563.5346
CHLD 2 269.121094 1530826563.5346
CHLD 3 252.449219 1530826563.5346
CHLD 4 251.019531 1530826563.5347
MEM 1587.531250 1530826563.6550
CHLD 0 254.027344 1530826563.6689
CHLD 1 251.304688 1530826563.6689
