CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.238281 1530827579.3862
MEM 17.265625 1530827579.5231
MEM 36.351562 1530827579.6628
MEM 47.738281 1530827579.7983
MEM 51.578125 1530827579.9388
MEM 60.757812 1530827580.0744
MEM 66.562500 1530827580.2116
MEM 85.332031 1530827580.3507
MEM 97.058594 1530827580.4889
MEM 118.234375 1530827580.6258
MEM 159.707031 1530827580.7667
MEM 176.398438 1530827580.9070
MEM 181.828125 1530827581.0422
MEM 190.835938 1530827581.1767
MEM 200.917969 1530827581.3152
MEM 207.488281 1530827581.4506
MEM 222.292969 1530827581.5846
MEM 236.988281 1530827581.7173
MEM 244.929688 1530827581.8589
MEM 253.171875 1530827581.9916
MEM 256.781250 1530827582.1237
MEM 258.949219 1530827582.2564
CHLD 0 192.253906 1530827582.2724
CHLD 1 192.253906 1530827582.2724
MEM 676.468750 1530827582.3918
CHLD 0 221.292969 1530827582.4069
CHLD 1 194.714844 1530827582.4069
MEM 705.242188 1530827582.5292
CHLD 0 223.148438 1530827582.5443
CHLD 1 223.765625 1530827582.5444
MEM 726.949219 1530827582.6622
CHLD 0 233.347656 1530827582.6791
CHLD 1 240.937500 1530827582.6791
MEM 749.652344 1530827582.7973
CHLD 0 237.296875 1530827582.8126
CHLD 1 233.515625 1530827582.8126
MEM 1381.328125 1530827582.9392
CHLD 0 219.070312 1530827582.9622
CHLD 1 219.070312 1530827582.9623
CHLD 2 219.070312 1530827582.9623
CHLD 3 219.070312 1530827582.9623
CHLD 4 219.070312 1530827582.9623
MEM 1412.882812 1530827583.0825
CHLD 0 239.445312 1530827583.0958
CHLD 1 227.082031 1530827583.0959
CHLD 2 219.070312 1530827583.0959
CHLD 3 219.070312 1530827583.0959
CHLD 4 219.070312 1530827583.0959
MEM 1454.121094 1530827583.2139
CHLD 0 239.964844 1530827583.2267
CHLD 1 239.707031 1530827583.2268
CHLD 2 239.421875 1530827583.2268
CHLD 3 223.687500 1530827583.2268
CHLD 4 219.070312 1530827583.2269
MEM 1485.308594 1530827583.3410
CHLD 0 240.472656 1530827583.3544
CHLD 1 240.125000 1530827583.3545
CHLD 2 240.035156 1530827583.3545
CHLD 3 239.902344 1530827583.3545
CHLD 4 239.050781 1530827583.3545
MEM 1489.187500 1530827583.4742
CHLD 0 241.132812 1530827583.4870
CHLD 1 240.574219 1530827583.4871
CHLD 2 240.859375 1530827583.4871
CHLD 3 240.609375 1530827583.4871
CHLD 4 240.277344 1530827583.4871
MEM 1495.246094 1530827583.6079
CHLD 0 241.132812 1530827583.6213
CHLD 1 241.128906 1530827583.6214
CHLD 2 241.363281 1530827583.6214
CHLD 3 241.609375 1530827583.6214
CHLD 4 247.105469 1530827583.6214
MEM 1509.281250 1530827583.7393
CHLD 0 241.640625 1530827583.7544
CHLD 1 241.382812 1530827583.7544
CHLD 2 242.132812 1530827583.7545
CHLD 3 242.640625 1530827583.7545
CHLD 4 250.796875 1530827583.7545
MEM 1514.527344 1530827583.8809
CHLD 0 242.464844 1530827583.8976
CHLD 1 242.457031 1530827583.8977
CHLD 2 242.882812 1530827583.8977
CHLD 3 244.929688 1530827583.8977
CHLD 4 250.796875 1530827583.8977
MEM 1520.152344 1530827584.0174
CHLD 0 243.546875 1530827584.0331
CHLD 1 243.859375 1530827584.0331
CHLD 2 244.464844 1530827584.0332
CHLD 3 246.710938 1530827584.0332
CHLD 4 250.796875 1530827584.0332
MEM 1526.750000 1530827584.1517
CHLD 0 244.945312 1530827584.1671
CHLD 1 245.359375 1530827584.1672
CHLD 2 245.628906 1530827584.1672
CHLD 3 249.148438 1530827584.1672
CHLD 4 250.796875 1530827584.1672
MEM 1531.960938 1530827584.2840
CHLD 0 246.304688 1530827584.2976
CHLD 1 246.832031 1530827584.2976
CHLD 2 246.609375 1530827584.2976
CHLD 3 250.312500 1530827584.2976
CHLD 4 250.796875 1530827584.2977
MEM 1535.460938 1530827584.4120
CHLD 0 247.160156 1530827584.4255
CHLD 1 248.453125 1530827584.4255
CHLD 2 247.460938 1530827584.4256
CHLD 3 250.312500 1530827584.4256
CHLD 4 250.796875 1530827584.4256
MEM 1541.394531 1530827584.5436
CHLD 0 248.656250 1530827584.5572
CHLD 1 249.664062 1530827584.5572
CHLD 2 248.464844 1530827584.5572
CHLD 3 254.179688 1530827584.5572
CHLD 4 250.796875 1530827584.5573
MEM 1560.414062 1530827584.6767
CHLD 0 250.292969 1530827584.6920
CHLD 1 250.875000 1530827584.6921
CHLD 2 249.777344 1530827584.6921
CHLD 3 267.929688 1530827584.6921
CHLD 4 250.796875 1530827584.6921
MEM 1566.503906 1530827584.8104
CHLD 0 251.101562 1530827584.8245
CHLD 1 251.160156 1530827584.8245
CHLD 2 250.734375 1530827584.8245
CHLD 3 252.460938 1530827584.8246
CHLD 4 250.796875 1530827584.8246
MEM 1575.746094 1530827584.9406
CHLD 0 251.386719 1530827584.9541
CHLD 1 251.160156 1530827584.9542
CHLD 2 250.734375 1530827584.9542
CHLD 3 252.460938 1530827584.9542
CHLD 4 250.796875 1530827584.9542
MEM 1587.734375 1530827585.0727
CHLD 0 251.425781 1530827585.0865
CHLD 1 263.433594 1530827585.0865
CHLD 2 250.734375 1530827585.0865
CHLD 3 252.460938 1530827585.0865
CHLD 4 250.796875 1530827585.0865
MEM 1618.835938 1530827585.2067
CHLD 0 264.164062 1530827585.2257
CHLD 1 257.136719 1530827585.2258
CHLD 2 266.171875 1530827585.2258
CHLD 3 252.460938 1530827585.2258
CHLD 4 250.796875 1530827585.2259
MEM 1616.429688 1530827585.3478
CHLD 0 262.691406 1530827585.3616
CHLD 1 249.636719 1530827585.3617
CHLD 2 261.117188 1530827585.3617
CHLD 3 252.460938 1530827585.3617
CHLD 4 250.796875 1530827585.3617
MEM 1606.929688 1530827585.4815
CHLD 0 262.691406 1530827585.4951
CHLD 1 249.636719 1530827585.4951
CHLD 2 249.277344 1530827585.4951
CHLD 3 252.460938 1530827585.4952
CHLD 4 250.796875 1530827585.4952
MEM 1608.773438 1530827585.6124
CHLD 0 262.691406 1530827585.6278
CHLD 1 249.636719 1530827585.6279
CHLD 2 249.277344 1530827585.6279
CHLD 3 252.460938 1530827585.6279
CHLD 4 250.796875 1530827585.6279
MEM 1606.507812 1530827585.7436
CHLD 0 250.347656 1530827585.7570
CHLD 1 249.636719 1530827585.7570
CHLD 2 249.277344 1530827585.7570
CHLD 3 252.460938 1530827585.7570
CHLD 4 250.796875 1530827585.7571
MEM 1615.242188 1530827585.8774
CHLD 0 250.347656 1530827585.8910
CHLD 1 249.636719 1530827585.8910
CHLD 2 249.277344 1530827585.8910
CHLD 3 252.460938 1530827585.8911
CHLD 4 250.796875 1530827585.8911
MEM 358.738281 1530827586.0126
MEM 358.746094 1530827586.1509
MEM 355.277344 1530827586.2857
MEM 265.593750 1530827586.4173
