CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 8 --l_type cluster --su
MEM 0.722656 1530822775.9335
MEM 25.945312 1530822776.0694
MEM 38.011719 1530822776.2034
MEM 50.003906 1530822776.3378
MEM 51.578125 1530822776.4710
MEM 61.195312 1530822776.6035
MEM 71.238281 1530822776.7361
MEM 85.980469 1530822776.8686
MEM 98.457031 1530822777.0010
MEM 119.585938 1530822777.1334
MEM 162.960938 1530822777.2696
MEM 176.394531 1530822777.4039
MEM 181.824219 1530822777.5383
MEM 190.753906 1530822777.6711
MEM 200.957031 1530822777.8038
MEM 207.519531 1530822777.9364
MEM 220.308594 1530822778.0688
MEM 231.148438 1530822778.2009
MEM 241.632812 1530822778.3354
MEM 252.414062 1530822778.4719
MEM 262.714844 1530822778.6058
MEM 273.074219 1530822778.7381
MEM 283.300781 1530822778.8703
MEM 293.164062 1530822779.0026
MEM 302.625000 1530822779.1348
MEM 312.812500 1530822779.2672
MEM 323.093750 1530822779.4006
MEM 333.656250 1530822779.5326
MEM 342.289062 1530822779.6699
MEM 352.972656 1530822779.8090
MEM 363.148438 1530822779.9413
MEM 373.304688 1530822780.0736
MEM 382.117188 1530822780.2093
MEM 391.484375 1530822780.3455
MEM 401.101562 1530822780.4779
MEM 410.937500 1530822780.6105
MEM 420.714844 1530822780.7453
MEM 430.457031 1530822780.8757
MEM 440.167969 1530822781.0056
MEM 448.175781 1530822781.1355
MEM 457.480469 1530822781.2673
MEM 467.632812 1530822781.3996
MEM 478.144531 1530822781.5292
MEM 489.191406 1530822781.6599
MEM 500.640625 1530822781.7865
MEM 511.312500 1530822781.9174
MEM 517.953125 1530822782.0506
MEM 524.414062 1530822782.1844
MEM 530.808594 1530822782.3168
MEM 537.117188 1530822782.4536
MEM 543.859375 1530822782.5884
MEM 549.406250 1530822782.7229
MEM 555.734375 1530822782.8564
MEM 561.835938 1530822782.9928
MEM 567.843750 1530822783.1262
MEM 573.273438 1530822783.2607
MEM 579.347656 1530822783.3941
MEM 584.679688 1530822783.5273
MEM 590.359375 1530822783.6606
MEM 596.343750 1530822783.7941
MEM 602.042969 1530822783.9317
MEM 607.640625 1530822784.0663
MEM 613.945312 1530822784.1994
MEM 619.699219 1530822784.3329
MEM 625.398438 1530822784.4658
MEM 631.750000 1530822784.6020
MEM 638.335938 1530822784.7364
MEM 645.203125 1530822784.8714
MEM 651.558594 1530822785.0047
MEM 657.960938 1530822785.1374
MEM 664.308594 1530822785.2737
MEM 670.859375 1530822785.4096
MEM 677.921875 1530822785.5427
MEM 684.605469 1530822785.6754
MEM 691.394531 1530822785.8085
MEM 1323.781250 1530822785.9450
CHLD 0 626.515625 1530822785.9605
MEM 1334.378906 1530822786.0806
CHLD 0 626.515625 1530822786.0960
MEM 1347.917969 1530822786.2150
CHLD 0 626.515625 1530822786.2303
MEM 1351.921875 1530822786.3482
CHLD 0 626.515625 1530822786.3636
MEM 1367.957031 1530822786.4814
CHLD 0 645.039062 1530822786.4968
MEM 1434.156250 1530822786.6175
CHLD 0 748.847656 1530822786.6331
MEM 1510.324219 1530822786.7525
CHLD 0 825.777344 1530822786.7678
MEM 1565.527344 1530822786.8856
CHLD 0 876.796875 1530822786.9015
MEM 1566.539062 1530822787.0190
CHLD 0 872.996094 1530822787.0343
MEM 1566.593750 1530822787.1520
CHLD 0 873.046875 1530822787.1673
MEM 1566.687500 1530822787.2903
CHLD 0 873.144531 1530822787.3055
MEM 1566.781250 1530822787.4258
CHLD 0 873.246094 1530822787.4409
MEM 1566.878906 1530822787.5585
CHLD 0 873.320312 1530822787.5739
MEM 1566.937500 1530822787.6914
CHLD 0 873.378906 1530822787.7066
MEM 1567.054688 1530822787.8241
CHLD 0 873.496094 1530822787.8395
MEM 1567.156250 1530822787.9624
CHLD 0 873.597656 1530822787.9776
MEM 1567.242188 1530822788.0937
CHLD 0 873.695312 1530822788.1090
MEM 1567.328125 1530822788.2298
CHLD 0 873.777344 1530822788.2450
MEM 1567.414062 1530822788.3625
CHLD 0 873.867188 1530822788.3780
MEM 1567.523438 1530822788.4966
CHLD 0 873.964844 1530822788.5124
MEM 1567.601562 1530822788.6335
CHLD 0 874.062500 1530822788.6493
MEM 1567.707031 1530822788.7687
CHLD 0 874.171875 1530822788.7839
MEM 1567.804688 1530822788.9028
CHLD 0 874.246094 1530822788.9181
MEM 1567.851562 1530822789.0354
CHLD 0 874.300781 1530822789.0506
MEM 1567.937500 1530822789.1682
CHLD 0 874.386719 1530822789.1834
MEM 1568.046875 1530822789.3063
CHLD 0 874.519531 1530822789.3218
MEM 1568.117188 1530822789.4413
CHLD 0 874.570312 1530822789.4565
MEM 1568.566406 1530822789.5756
CHLD 0 875.089844 1530822789.5913
MEM 1569.273438 1530822789.7099
CHLD 0 875.781250 1530822789.7253
MEM 1569.964844 1530822789.8465
CHLD 0 876.488281 1530822789.8620
MEM 1570.664062 1530822789.9824
CHLD 0 877.183594 1530822789.9978
MEM 1571.363281 1530822790.1166
CHLD 0 877.898438 1530822790.1318
MEM 1572.125000 1530822790.2537
CHLD 0 878.648438 1530822790.2691
MEM 1572.839844 1530822790.3887
CHLD 0 879.355469 1530822790.4027
MEM 1573.539062 1530822790.5209
CHLD 0 880.050781 1530822790.5343
MEM 1574.242188 1530822790.6524
CHLD 0 880.734375 1530822790.6658
MEM 1574.914062 1530822790.7840
CHLD 0 881.414062 1530822790.7974
MEM 1575.593750 1530822790.9154
CHLD 0 882.089844 1530822790.9288
