CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.468750 1530826496.4134
MEM 23.886719 1530826496.5479
MEM 38.007812 1530826496.6808
MEM 50.601562 1530826496.8142
MEM 53.257812 1530826496.9456
MEM 61.804688 1530826497.0784
MEM 72.890625 1530826497.2095
MEM 87.738281 1530826497.3429
MEM 100.941406 1530826497.4758
MEM 128.882812 1530826497.6067
MEM 170.320312 1530826497.7393
MEM 179.746094 1530826497.8718
MEM 184.976562 1530826498.0021
MEM 194.300781 1530826498.1305
MEM 204.027344 1530826498.2623
MEM 214.824219 1530826498.3977
MEM 235.960938 1530826498.5312
MEM 247.511719 1530826498.6657
MEM 254.980469 1530826498.7996
MEM 258.074219 1530826498.9322
MEM 675.570312 1530826499.0744
CHLD 0 221.371094 1530826499.0986
CHLD 1 205.636719 1530826499.0986
MEM 705.425781 1530826499.2213
CHLD 0 223.093750 1530826499.2429
CHLD 1 224.464844 1530826499.2430
MEM 728.816406 1530826499.3634
CHLD 0 233.136719 1530826499.3792
CHLD 1 243.277344 1530826499.3793
MEM 750.007812 1530826499.5023
CHLD 0 235.359375 1530826499.5173
CHLD 1 235.937500 1530826499.5173
MEM 285.554688 1530826499.6358
MEM 1385.542969 1530826499.7675
CHLD 0 227.031250 1530826499.7813
CHLD 1 218.875000 1530826499.7813
CHLD 2 218.875000 1530826499.7813
CHLD 3 218.875000 1530826499.7813
CHLD 4 218.875000 1530826499.7814
MEM 1431.871094 1530826499.9012
CHLD 0 238.800781 1530826499.9149
CHLD 1 238.648438 1530826499.9150
CHLD 2 226.464844 1530826499.9150
CHLD 3 218.875000 1530826499.9150
CHLD 4 218.875000 1530826499.9150
MEM 1467.734375 1530826500.0337
CHLD 0 239.300781 1530826500.0470
CHLD 1 239.050781 1530826500.0471
CHLD 2 239.027344 1530826500.0471
CHLD 3 238.644531 1530826500.0471
CHLD 4 222.410156 1530826500.0471
MEM 1482.328125 1530826500.1661
CHLD 0 240.058594 1530826500.1799
CHLD 1 239.453125 1530826500.1799
CHLD 2 239.550781 1530826500.1800
CHLD 3 239.300781 1530826500.1800
CHLD 4 238.425781 1530826500.1800
MEM 1486.214844 1530826500.2996
CHLD 0 240.562500 1530826500.3149
CHLD 1 240.300781 1530826500.3149
CHLD 2 240.039062 1530826500.3149
CHLD 3 240.304688 1530826500.3149
CHLD 4 239.933594 1530826500.3149
MEM 1503.976562 1530826500.4328
CHLD 0 241.890625 1530826500.4481
CHLD 1 241.558594 1530826500.4481
CHLD 2 240.960938 1530826500.4481
CHLD 3 242.078125 1530826500.4482
CHLD 4 251.183594 1530826500.4482
MEM 1517.632812 1530826500.5710
CHLD 0 243.425781 1530826500.5862
CHLD 1 243.636719 1530826500.5863
CHLD 2 243.023438 1530826500.5863
CHLD 3 244.609375 1530826500.5863
CHLD 4 251.183594 1530826500.5863
MEM 1526.558594 1530826500.7052
CHLD 0 244.972656 1530826500.7184
CHLD 1 245.312500 1530826500.7185
CHLD 2 245.210938 1530826500.7185
CHLD 3 247.847656 1530826500.7185
CHLD 4 251.183594 1530826500.7185
MEM 1535.257812 1530826500.8373
CHLD 0 246.863281 1530826500.8505
CHLD 1 247.453125 1530826500.8505
CHLD 2 247.691406 1530826500.8505
CHLD 3 250.906250 1530826500.8505
CHLD 4 251.183594 1530826500.8505
MEM 1542.171875 1530826500.9709
CHLD 0 248.644531 1530826500.9890
CHLD 1 249.539062 1530826500.9890
CHLD 2 250.078125 1530826500.9890
CHLD 3 251.191406 1530826500.9891
CHLD 4 251.183594 1530826500.9891
MEM 1548.082031 1530826501.1123
CHLD 0 250.242188 1530826501.1286
CHLD 1 251.269531 1530826501.1286
CHLD 2 252.234375 1530826501.1287
CHLD 3 251.210938 1530826501.1287
CHLD 4 251.183594 1530826501.1287
MEM 1565.960938 1530826501.2557
CHLD 0 252.703125 1530826501.2816
CHLD 1 253.273438 1530826501.2817
CHLD 2 252.519531 1530826501.2817
CHLD 3 269.039062 1530826501.2818
CHLD 4 251.183594 1530826501.2818
MEM 1559.253906 1530826501.4049
CHLD 0 253.957031 1530826501.4216
CHLD 1 253.558594 1530826501.4216
CHLD 2 252.535156 1530826501.4217
CHLD 3 249.644531 1530826501.4217
CHLD 4 251.183594 1530826501.4217
MEM 1594.722656 1530826501.5454
CHLD 0 254.242188 1530826501.5675
CHLD 1 253.558594 1530826501.5675
CHLD 2 275.554688 1530826501.5675
CHLD 3 249.644531 1530826501.5676
CHLD 4 251.183594 1530826501.5676
MEM 1598.351562 1530826501.6873
CHLD 0 254.273438 1530826501.7030
CHLD 1 272.976562 1530826501.7030
CHLD 2 251.449219 1530826501.7031
CHLD 3 249.644531 1530826501.7031
CHLD 4 251.183594 1530826501.7031
MEM 1634.066406 1530826501.8225
CHLD 0 277.953125 1530826501.8376
CHLD 1 252.093750 1530826501.8377
CHLD 2 251.449219 1530826501.8377
CHLD 3 249.644531 1530826501.8377
CHLD 4 251.183594 1530826501.8377
MEM 1631.925781 1530826501.9585
CHLD 0 270.453125 1530826501.9742
CHLD 1 252.093750 1530826501.9742
CHLD 2 251.449219 1530826501.9743
CHLD 3 249.644531 1530826501.9743
CHLD 4 251.183594 1530826501.9743
MEM 1636.593750 1530826502.0930
CHLD 0 270.453125 1530826502.1080
CHLD 1 252.093750 1530826502.1081
CHLD 2 251.449219 1530826502.1081
CHLD 3 249.644531 1530826502.1081
CHLD 4 251.183594 1530826502.1081
MEM 1627.609375 1530826502.2221
CHLD 0 253.488281 1530826502.2359
CHLD 1 252.093750 1530826502.2359
CHLD 2 251.449219 1530826502.2359
CHLD 3 249.644531 1530826502.2359
CHLD 4 251.183594 1530826502.2360
MEM 1640.941406 1530826502.3572
CHLD 0 253.488281 1530826502.3711
CHLD 1 252.093750 1530826502.3711
CHLD 2 251.449219 1530826502.3711
CHLD 3 249.644531 1530826502.3711
CHLD 4 251.183594 1530826502.3712
MEM 375.039062 1530826502.4910
CHLD 0 0.000000 1530826502.5055
CHLD 1 0.000000 1530826502.5055
CHLD 2 0.000000 1530826502.5055
CHLD 3 0.000000 1530826502.5056
CHLD 4 0.000000 1530826502.5056
MEM 375.042969 1530826502.6191
MEM 374.847656 1530826502.7548
MEM 288.085938 1530826502.8893
