CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.238281 1530827737.0672
MEM 24.144531 1530827737.1978
MEM 37.007812 1530827737.3277
MEM 48.613281 1530827737.4553
MEM 51.578125 1530827737.5833
MEM 60.906250 1530827737.7124
MEM 69.964844 1530827737.8394
MEM 85.324219 1530827737.9721
MEM 97.542969 1530827738.1023
MEM 118.644531 1530827738.2305
MEM 156.769531 1530827738.3614
MEM 175.929688 1530827738.4936
MEM 181.011719 1530827738.6248
MEM 189.988281 1530827738.7528
MEM 199.812500 1530827738.8797
MEM 207.484375 1530827739.0093
MEM 225.875000 1530827739.1417
MEM 236.960938 1530827739.2744
MEM 248.507812 1530827739.4061
MEM 254.179688 1530827739.5359
MEM 256.757812 1530827739.6699
MEM 665.554688 1530827739.8028
CHLD 0 220.136719 1530827739.8187
CHLD 1 192.246094 1530827739.8187
MEM 704.210938 1530827739.9362
CHLD 0 222.871094 1530827739.9521
CHLD 1 223.011719 1530827739.9521
MEM 719.386719 1530827740.0698
CHLD 0 227.546875 1530827740.0852
CHLD 1 238.605469 1530827740.0852
MEM 746.234375 1530827740.2071
CHLD 0 237.054688 1530827740.2220
CHLD 1 233.500000 1530827740.2220
MEM 505.035156 1530827740.3507
CHLD 0 219.066406 1530827740.3694
CHLD 1 219.066406 1530827740.3695
CHLD 2 219.066406 1530827740.3695
CHLD 3 219.066406 1530827740.3695
CHLD 4 219.066406 1530827740.3695
MEM 1406.078125 1530827740.4868
CHLD 0 239.421875 1530827740.5042
CHLD 1 222.843750 1530827740.5043
CHLD 2 219.082031 1530827740.5043
CHLD 3 219.066406 1530827740.5043
CHLD 4 219.066406 1530827740.5043
MEM 1446.070312 1530827740.6267
CHLD 0 239.957031 1530827740.6492
CHLD 1 239.679688 1530827740.6492
CHLD 2 239.382812 1530827740.6493
CHLD 3 221.117188 1530827740.6493
CHLD 4 219.066406 1530827740.6493
MEM 1485.523438 1530827740.7774
CHLD 0 240.601562 1530827740.8048
CHLD 1 240.097656 1530827740.8049
CHLD 2 240.027344 1530827740.8049
CHLD 3 239.863281 1530827740.8050
CHLD 4 238.875000 1530827740.8050
MEM 1489.613281 1530827740.9322
CHLD 0 241.105469 1530827740.9595
CHLD 1 240.851562 1530827740.9596
CHLD 2 240.843750 1530827740.9596
CHLD 3 240.835938 1530827740.9597
CHLD 4 240.496094 1530827740.9597
MEM 1506.125000 1530827741.0879
CHLD 0 241.613281 1530827741.1148
CHLD 1 241.355469 1530827741.1148
CHLD 2 241.593750 1530827741.1149
CHLD 3 241.839844 1530827741.1149
CHLD 4 253.437500 1530827741.1149
MEM 1512.097656 1530827741.2308
