CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.722656 1530826437.0317
MEM 27.660156 1530826437.1670
MEM 37.519531 1530826437.3018
MEM 47.488281 1530826437.4389
MEM 51.324219 1530826437.5747
MEM 60.605469 1530826437.7083
MEM 68.800781 1530826437.8419
MEM 85.343750 1530826437.9800
MEM 97.535156 1530826438.1155
MEM 117.867188 1530826438.2575
MEM 160.652344 1530826438.3936
MEM 175.449219 1530826438.5316
MEM 181.582031 1530826438.6661
MEM 191.925781 1530826438.7986
MEM 201.292969 1530826438.9384
MEM 209.964844 1530826439.0729
MEM 232.390625 1530826439.2071
MEM 240.078125 1530826439.3396
MEM 251.925781 1530826439.4717
MEM 256.824219 1530826439.6060
MEM 257.082031 1530826439.7416
MEM 669.890625 1530826439.8763
CHLD 0 220.992188 1530826439.8917
CHLD 1 193.937500 1530826439.8917
MEM 704.738281 1530826440.0112
CHLD 0 222.406250 1530826440.0271
CHLD 1 224.261719 1530826440.0272
MEM 730.000000 1530826440.1479
CHLD 0 228.390625 1530826440.1661
CHLD 1 235.949219 1530826440.1661
MEM 750.070312 1530826440.2856
CHLD 0 235.363281 1530826440.3007
CHLD 1 235.949219 1530826440.3007
MEM 756.921875 1530826440.4183
CHLD 0 235.363281 1530826440.4333
CHLD 1 235.949219 1530826440.4334
MEM 1382.652344 1530826440.5526
CHLD 0 218.890625 1530826440.5692
CHLD 1 218.890625 1530826440.5693
CHLD 2 218.890625 1530826440.5693
CHLD 3 218.890625 1530826440.5693
CHLD 4 218.890625 1530826440.5693
MEM 1422.855469 1530826440.6949
CHLD 0 238.808594 1530826440.7131
CHLD 1 238.574219 1530826440.7131
CHLD 2 219.949219 1530826440.7132
CHLD 3 218.890625 1530826440.7132
CHLD 4 218.890625 1530826440.7132
MEM 1463.265625 1530826440.8358
CHLD 0 239.308594 1530826440.8523
CHLD 1 239.058594 1530826440.8523
CHLD 2 239.035156 1530826440.8524
CHLD 3 238.628906 1530826440.8524
CHLD 4 222.273438 1530826440.8524
MEM 1482.386719 1530826440.9715
CHLD 0 240.066406 1530826440.9866
CHLD 1 239.558594 1530826440.9866
CHLD 2 239.796875 1530826440.9867
CHLD 3 239.308594 1530826440.9867
CHLD 4 238.433594 1530826440.9867
MEM 1486.265625 1530826441.1048
CHLD 0 240.570312 1530826441.1207
CHLD 1 239.812500 1530826441.1208
CHLD 2 240.550781 1530826441.1208
CHLD 3 240.312500 1530826441.1208
CHLD 4 239.953125 1530826441.1208
MEM 1509.746094 1530826441.2419
CHLD 0 241.894531 1530826441.2572
CHLD 1 241.054688 1530826441.2572
CHLD 2 242.015625 1530826441.2573
CHLD 3 241.832031 1530826441.2573
CHLD 4 251.945312 1530826441.2573
MEM 1517.273438 1530826441.3763
CHLD 0 243.421875 1530826441.3919
CHLD 1 242.953125 1530826441.3920
CHLD 2 243.769531 1530826441.3920
CHLD 3 244.460938 1530826441.3920
CHLD 4 251.195312 1530826441.3920
MEM 1525.835938 1530826441.5137
CHLD 0 244.968750 1530826441.5297
CHLD 1 244.593750 1530826441.5297
CHLD 2 246.273438 1530826441.5297
CHLD 3 247.597656 1530826441.5297
CHLD 4 251.195312 1530826441.5298
MEM 1535.558594 1530826441.6538
CHLD 0 246.925781 1530826441.6694
CHLD 1 246.835938 1530826441.6694
CHLD 2 248.644531 1530826441.6694
CHLD 3 250.804688 1530826441.6694
CHLD 4 251.195312 1530826441.6695
MEM 1542.511719 1530826441.7885
CHLD 0 248.511719 1530826441.8039
CHLD 1 248.625000 1530826441.8040
CHLD 2 250.988281 1530826441.8040
CHLD 3 251.238281 1530826441.8040
CHLD 4 251.195312 1530826441.8040
MEM 1547.417969 1530826441.9258
CHLD 0 250.394531 1530826441.9433
CHLD 1 250.660156 1530826441.9433
CHLD 2 252.476562 1530826441.9433
CHLD 3 251.265625 1530826441.9434
CHLD 4 251.195312 1530826441.9434
MEM 1569.343750 1530826442.0633
CHLD 0 252.070312 1530826442.0795
CHLD 1 252.347656 1530826442.0795
CHLD 2 252.511719 1530826442.0795
CHLD 3 269.710938 1530826442.0796
CHLD 4 251.195312 1530826442.0796
MEM 1565.046875 1530826442.2076
CHLD 0 253.964844 1530826442.2354
CHLD 1 253.554688 1530826442.2355
CHLD 2 265.710938 1530826442.2355
CHLD 3 249.804688 1530826442.2356
CHLD 4 251.195312 1530826442.2356
MEM 1603.156250 1530826442.3568
CHLD 0 254.250000 1530826442.3818
CHLD 1 253.554688 1530826442.3818
CHLD 2 274.433594 1530826442.3818
CHLD 3 249.804688 1530826442.3818
CHLD 4 251.195312 1530826442.3819
