CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 8 --l_type cluster --su
CHLD 0 0.636719 1530965075.3859
CHLD 1 2786.941406 1530965075.3860
MEM 3058.031250 1530965075.5054
CHLD 0 0.636719 1530965075.5201
CHLD 1 2856.070312 1530965075.5201
MEM 3107.316406 1530965075.6435
CHLD 0 0.636719 1530965075.6646
CHLD 1 2899.968750 1530965075.6646
MEM 3108.617188 1530965075.8104
CHLD 0 0.636719 1530965075.8556
CHLD 1 2901.480469 1530965075.8556
MEM 3109.238281 1530965076.0009
CHLD 0 0.636719 1530965076.0339
CHLD 1 2901.796875 1530965076.0339
MEM 3109.332031 1530965076.1551
CHLD 0 0.636719 1530965076.2095
CHLD 1 2901.898438 1530965076.2096
MEM 3109.382812 1530965076.3399
CHLD 0 0.636719 1530965076.3853
CHLD 1 2901.953125 1530965076.3853
MEM 3109.429688 1530965076.5126
CHLD 0 0.636719 1530965076.5687
CHLD 1 2901.980469 1530965076.5688
MEM 3109.437500 1530965076.7036
CHLD 0 0.636719 1530965076.7483
CHLD 1 2901.988281 1530965076.7483
MEM 3109.441406 1530965076.8721
CHLD 0 0.636719 1530965076.8932
CHLD 1 2901.992188 1530965076.8933
MEM 3109.441406 1530965077.0136
CHLD 0 0.636719 1530965077.0259
CHLD 1 2901.992188 1530965077.0259
MEM 3109.507812 1530965077.1462
CHLD 0 0.636719 1530965077.1590
CHLD 1 2902.058594 1530965077.1591
MEM 3109.507812 1530965077.2792
CHLD 0 0.636719 1530965077.2942
CHLD 1 2902.058594 1530965077.2942
MEM 3110.347656 1530965077.4120
CHLD 0 0.636719 1530965077.4259
CHLD 1 2903.148438 1530965077.4259
MEM 3112.343750 1530965077.5528
CHLD 0 0.636719 1530965077.5740
CHLD 1 2905.121094 1530965077.5740
MEM 3113.792969 1530965077.6920
CHLD 0 0.636719 1530965077.7071
CHLD 1 2906.515625 1530965077.7072
MEM 3115.039062 1530965077.8288
CHLD 0 0.636719 1530965077.8436
CHLD 1 2907.738281 1530965077.8437
MEM 3116.390625 1530965077.9633
CHLD 0 0.636719 1530965077.9763
CHLD 1 2909.078125 1530965077.9764
MEM 3103.960938 1530965078.0962
CHLD 0 0.636719 1530965078.1123
CHLD 1 2896.511719 1530965078.1124
MEM 3103.960938 1530965078.2297
CHLD 0 0.636719 1530965078.2433
CHLD 1 2896.511719 1530965078.2433
MEM 3103.960938 1530965078.3592
CHLD 0 0.636719 1530965078.3731
CHLD 1 2896.511719 1530965078.3732
MEM 3103.960938 1530965078.4924
CHLD 0 0.636719 1530965078.5075
CHLD 1 2896.511719 1530965078.5075
MEM 3103.960938 1530965078.6235
CHLD 0 0.636719 1530965078.6394
CHLD 1 2896.511719 1530965078.6395
MEM 3103.960938 1530965078.7597
CHLD 0 0.636719 1530965078.7759
CHLD 1 2896.511719 1530965078.7759
MEM 3103.960938 1530965078.8996
